Date,Produit,ASIN,Hook,CTA,Hashtags,Statut
2026-04-25,Best-of semaine,,Replay des 5 meilleurs clips de la semaine,easycom-world.ch,#easycom #bestof #gadgettech,À filmer
2026-04-26,Teaser semaine,,Ce produit va changer ta façon de voyager — Demain sur ma chaîne,easycom-world.ch,#teaser #gadget2026 #techfrançais,À filmer
2026-04-27,Timekettle WT2 Edge,B084NZL8G3,"Tu parles chinois toi? Non. Mais je comprends tout.",easycom-world.ch,#traducteurinstantané #timekettle #voyageurfuté #barrièredelalangue,À filmer
2026-04-28,Invoxia GPS,B0FQYG8J4P,"Ma voiture a bougé à 3h du matin. J'ai reçu une alerte. Elle était là.",easycom-world.ch,#gpstracker #antivol #sécurité #traceur,À filmer
2026-04-29,Luckits 115L,B0F62TC6CN,"33€. Ces lunettes font ce que les Ray-Ban Meta font à 350€.",easycom-world.ch,#lunettesconnectées #gadgetpascher #techpascher #créateurcontenu,À filmer
2026-04-30,Xplora X6Play,B0GQHHKCRH,"Tu sais où est ton enfant là maintenant à cet instant?",easycom-world.ch,#gpstracker #sécuritéenfant #parentalité #montre,À filmer
2026-05-01,Stylo Scanner AI,B0DS62X13F,"Ce stylo te lit un livre en 10 secondes.",easycom-world.ch,#stylotech #étudiant #gadget2026 #innovation,À filmer
2026-05-02,Best-of semaine,,Replay des 5 meilleurs clips de la semaine,easycom-world.ch,#easycom #bestof #amazonfrance,À filmer
2026-05-03,Teaser semaine,,La semaine prochaine on teste quelque chose que personne ne connaît encore,easycom-world.ch,#teaser #techfrançais #gadgetutile,À filmer
2026-05-04,Timekettle M3,B0B8NJR625,"153€ pour comprendre n'importe qui dans le monde entier.",easycom-world.ch,#timekettle #traducteurinstantané #voyageurfuté #bonplan,À filmer
2026-05-05,Samsung SmartTag2,B0CG7JHFKY,"Tes clés sont dans le canapé. Tu le sais avant de chercher.",easycom-world.ch,#samsung #traceur #gadgetutile #techpascher,À filmer
2026-05-06,BLESSOURCE 116L,B0DQGD44LC,"25€. Les lunettes les moins chères du marché avec caméra HD.",easycom-world.ch,#lunettesconnectées #minimalisme #gadgetpascher #créateurcontenu,À filmer
2026-05-07,EUNICECG 4G,B0DZP1JB4K,"Ton enfant sort de la zone autorisée. Ton téléphone sonne immédiatement.",easycom-world.ch,#gpstracker #sécuritéenfant #4G #parentalité,À filmer
2026-05-08,IRISPen Reader 8,B0D2JC29Q7,"Ce stylo numérise et traduit plus vite que tu ne tapes.",easycom-world.ch,#stylotech #productivité #gadget2026 #pro,À filmer
2026-05-09,Best-of semaine,,Top 3 produits les plus cliqués cette semaine,easycom-world.ch,#easycom #bestof #gadgettech #amazonfrance,À filmer
2026-05-10,Teaser semaine,,J'ai testé un truc à 32€ qui m'a sauvé dans 3 aéroports différents,easycom-world.ch,#teaser #voyage #gadget2026,À filmer
2026-05-11,ANFIER A8,B0DP2G589V,"Personne ne parle de celui-là. Pourtant il bat les grandes marques.",easycom-world.ch,#traducteurinstantané #offline #voyageurfuté #gadgettech,À filmer
2026-05-12,Apple AirTag,B0GJTCB2QM,"Ma valise est arrivée à Miami. Moi j'étais à Paris. Je le savais en temps réel.",easycom-world.ch,#airtag #apple #voyage #valise #traceur,À filmer
2026-05-13,Luckits 115L,B0F62TC6CN,"POV : tu filmes ta journée sans jamais sortir ton téléphone.",easycom-world.ch,#lunettesconnectées #créateurcontenu #lifestyle #techfrançais,À filmer
2026-05-14,Xplora X6Play,B0GQHHKCRH,"Maman je suis arrivé à l'école — elle m'a pas envoyé de message. Je l'ai vu sur la carte.",easycom-world.ch,#gpstracker #sécuritéenfant #parentalité #montre,À filmer
2026-05-15,Stylo Scanner AI,B0DS62X13F,"Menu japonais. Je comprends tout. Grâce à ce stylo.",easycom-world.ch,#stylotech #voyage #japan #gadgetutile,À filmer
2026-05-16,Best-of semaine,,Replay — les vidéos que vous avez le plus partagées,easycom-world.ch,#easycom #bestof #techfrançais,À filmer
2026-05-17,Teaser semaine,,Cette semaine on parle de ce que tu perds chaque matin depuis des années,easycom-world.ch,#teaser #gadget2026 #bonplan,À filmer
2026-05-18,Timekettle WT2 Edge,B084NZL8G3,"Réunion avec un client japonais dans 10 minutes. Aucun problème.",easycom-world.ch,#timekettle #business #traducteur #pro,À filmer
2026-05-19,Invoxia GPS,B0FQYG8J4P,"1 voiture volée toutes les 4 minutes en France.",easycom-world.ch,#antivol #gpstracker #voiture #sécurité,À filmer
2026-05-20,BLESSOURCE 116L,B0DQGD44LC,"Trop de gadgets encombrants pour filmer ses aventures.",easycom-world.ch,#lunettesconnectées #minimalisme #aventure #créateurcontenu,À filmer
2026-05-21,EUNICECG 4G,B0DZP1JB4K,"Précision 10 mètres. Alerte en moins de 3 secondes.",easycom-world.ch,#gpstracker #sécuritéenfant #4G #technologie,À filmer
2026-05-22,IRISPen Reader 8,B0D2JC29Q7,"138 langues. Compatible Word Excel. Reconnu par 10 millions de pros.",easycom-world.ch,#stylotech #pro #productivité #gadget2026,À filmer
2026-05-23,Best-of semaine,,Ce mois d'avril en chiffres — nos produits les plus vus,easycom-world.ch,#easycom #recap #amazonfrance #techfrançais,À filmer
2026-05-24,Apple AirTag,B0GJTCB2QM,"Ce petit disque blanc a retrouvé le chien de ma voisine en 20 minutes.",easycom-world.ch,#airtag #apple #chien #gadgetutile #traceur,À filmer
